Gender,Take off loss,3rd last Step Length ,3rd Last step horizontal Velocity BTO (m/s),2nd Last step horizontal velocity BTO (m/s),Last step horizontal Velocity BTO (m/s),Horizontal velocity at take off (m/s),Vertical velocity at take off (m/s),3rd last step Contact time (s),3rd last step flight time (s),2nd Last step contact time (s),Trunk angle at T0,Body inclination angle at TD,mean knee angular velocity TD,Thigh angular velocity of swing leg at TO,Official Distance (M)
F,0.01,2.05,9.31,9.23,8.46,8.23,2.73,0.1,0.135,0.1,84.6,-39.4,-379,514,7.02
F,0.01,2.12,9.23,9.08,8.68,8.27,3.42,0.095,0.135,0.12,88.4,-36.8,-311,563,7
F,0.07,2.01,9.49,9.51,9.2,7.72,2.86,0.1,0.135,0.105,97.8,-35.5,-493,407,6.97
F,0.07,1.86,9.44,9.36,9.1,7.91,3.26,0.1,0.15,0.09,97.2,-38.6,-370,497,6.96
F,0.02,2.34,9.39,9.34,8.41,7.2,3.46,0.11,0.155,0.13,84.3,-37.5,-585,543,6.72
F,0.01,2.04,9.52,9.07,8.62,7.98,3.27,0.105,0.105,0.105,89.8,-37,-682,581,6.67
F,0.12,2.2,9.16,8.92,8.55,8.09,3.07,0.11,0.13,0.13,99.9,-36.3,-459,552,6.57
F,0.16,2.04,8.92,9.22,9.1,8.98,3.26,0.105,0.135,0.11,103.2,-38.2,-238,393,6.55
F,0.01,1.97,8.92,8.88,8.36,7.57,3.31,0.105,0.14,0.115,95.6,-35.2,-381,515,6.54
F,0.09,2,9.06,9.2,8.67,7.78,2.65,0.105,0.135,0.11,92.7,-34.4,-533,518,6.54
F,0.03,2.05,9.47,9.29,8.38,8.23,3.22,0.1,0.125,0.11,96.1,-35.9,-604,549,6.52
F,0.03,2.13,8.93,9.02,8.52,7.37,2.51,0.12,0.125,0.115,102.7,-35.1,-543,533,6.46
F,0.086,1.94,9.76,9.66,9.2,8.46,3.1,0.1,0.09,0.1,87.1,-35.3,-595,631,6.69
F,0.016,2.12,9.15,9.22,8.63,7.61,3.61,0.12,0.11,0.13,108.1,-37.9,-349,533,6.85
F,0.075,2.02,9.42,9.63,9.09,8.39,3.05,0.1,0.11,0.1,86.2,-33.4,-496,566,6.64
F,0,1.92,9.45,9.37,8.82,7.74,3.46,0.1,0.1,0.11,90.8,-36.5,-530,640,6.63
F,0.005,2.16,9.62,9.68,9.34,8.39,2.96,0.1,0.12,0.105,91.5,-34.9,-438,533,6.57
F,0.054,2.07,9.03,8.95,8.42,7.5,3.23,0.105,0.12,0.145,95.9,-35.6,-305,463,6.37
F,0.156,2.12,9.26,9.25,8.75,7.99,2.31,0.095,0.125,0.115,93,-34.9,-416,605,6.34
F,0.14,1.85,8.71,8.8,8.3,7.68,3.2,0.1,0.1,0.11,91.5,-34.2,-409,537,5.99
M,0.06,2.38,10.45,10.5,9.91,9.12,3.68,0.09,0.135,0.095,84.1,-34.9,-537,574,8.48
M,0.06,2.37,10.58,10.82,10,9.56,3.51,0.09,0.125,0.115,91,-35.7,-606,472,8.44
M,0.03,2.16,10.51,10.15,9.64,7.98,3.87,0.09,0.105,0.11,82.7,-36.7,-699,607,8.49
M,0.08,2.29,10.59,10.22,9.7,8.06,3.79,0.09,0.12,0.115,91.6,-35.9,-349,492,8.27
M,0.01,2.28,10.22,10.01,9.68,9.43,3.93,0.1,0.115,0.115,91,-38,-626,626,8.26
M,0.03,2.15,10.32,9.91,9.42,8.28,4.06,0.085,0.125,0.1,96,-34.6,-592,476,8.23
M,0.08,2.34,10.34,10.17,9.47,7.82,3.84,0.09,0.12,0.11,84.6,-36.4,-574,612,8.18
M,0.09,2.32,10.22,10.34,9.38,8.45,4.13,0.09,0.135,0.12,98.2,-37,-143,504,8.11
M,0.08,2.68,10.07,10.32,9.36,8.24,4.08,0.095,0.16,0.135,85.5,-37.5,-435,533,8.02
M,0.02,2.18,10.29,10.35,9.51,8.74,3.71,0.09,0.115,0.11,84.7,-37.6,-757,381,7.91
M,0.02,,,,9.67,8.61,4.2,0.084,0.12,0.084,96.4,-32.2,-489,486,8.46
M,0.037,,,,9.97,9.18,3.47,0.088,0.128,0.116,89.8,-29.8,-416,704,7.91
M,0.206,,,,9.43,8.51,3.37,0.096,0.116,0.124,87.2,-39.3,-553,484,7.82
M,0.16,,,,9.51,8.93,3.68,0.084,0.128,0.108,87.1,-31.9,-669,507,7.75
M,0.054,,,,9.37,8.5,3.79,0.088,0.128,0.112,94,-38,-460,490,7.75
M,0.067,,,,9.24,8.23,3.47,0.116,0.12,0.128,92.2,-34.6,-329,477,7.53
