iter	Passed	Remaining
0	131	64661
1	132	32583
2	133	21870
3	135	16553
4	138	13476
5	141	11468
6	142	9894
7	143	8716
8	147	7932
9	148	7177
10	149	6541
11	150	6017
12	151	5595
13	152	5207
14	152	4872
15	153	4578
16	155	4351
17	156	4118
18	159	3971
19	160	3795
20	160	3616
21	161	3454
22	161	3305
23	163	3187
24	163	3062
25	163	2945
26	164	2837
27	166	2761
28	166	2668
29	167	2582
30	167	2500
31	168	2422
32	168	2349
33	169	2283
34	169	2221
35	170	2160
36	170	2103
37	171	2048
38	171	1996
39	173	1967
40	174	1919
41	174	1874
42	174	1830
43	175	1788
44	175	1749
45	176	1710
46	176	1673
47	176	1638
48	176	1603
49	177	1571
50	177	1540
51	178	1513
52	180	1497
53	180	1469
54	181	1442
55	181	1418
56	182	1392
57	182	1368
58	182	1344
59	183	1322
60	183	1300
61	184	1281
62	184	1260
63	185	1240
64	185	1221
65	185	1202
66	186	1185
67	186	1167
68	187	1149
69	187	1132
70	187	1115
71	187	1099
72	188	1083
73	188	1067
74	188	1052
75	189	1039
76	189	1025
77	190	1011
78	190	997
79	190	984
80	190	971
81	191	958
82	191	945
83	191	933
84	195	939
85	196	928
86	196	916
87	196	905
88	197	894
89	197	884
90	197	874
91	198	864
92	198	853
93	198	843
94	199	833
95	199	824
96	199	815
97	200	806
98	200	797
99	200	788
100	200	779
101	201	771
102	201	763
103	205	768
104	205	760
105	206	752
106	206	744
107	206	737
108	207	729
109	207	722
110	207	715
111	208	708
112	208	701
113	208	694
114	209	687
115	209	680
116	209	674
117	210	667
118	210	661
119	210	655
120	211	650
121	211	644
122	212	638
123	212	632
124	213	627
125	213	621
126	213	616
127	214	610
128	214	605
129	214	600
130	215	594
131	215	589
132	215	583
133	216	578
134	216	573
135	217	569
136	217	564
137	217	559
138	217	555
139	218	550
140	218	545
141	218	541
142	219	536
143	219	532
144	219	527
145	220	522
146	220	518
147	221	515
148	221	511
149	221	507
150	222	502
151	222	498
152	222	494
153	222	490
154	223	487
155	224	485
156	225	482
157	225	478
158	225	474
159	226	470
160	226	467
161	227	464
162	227	460
163	227	456
164	228	453
165	228	449
166	228	446
167	229	443
168	229	439
169	229	436
170	229	433
171	230	429
172	230	426
173	230	423
174	231	419
175	233	420
176	233	417
177	234	414
178	234	411
179	235	408
180	235	405
181	235	402
182	235	399
183	236	397
184	236	394
185	237	391
186	237	388
187	237	385
188	237	382
189	238	379
190	238	377
191	239	374
192	239	372
193	240	370
194	240	367
195	240	365
196	241	362
197	241	359
198	241	357
199	242	354
200	242	352
201	242	349
202	242	346
203	243	344
204	243	342
205	243	339
206	244	337
207	244	334
208	244	332
209	245	330
210	245	327
211	245	325
