iter	Passed	Remaining
0	140	15457
1	142	7745
2	143	5169
3	145	3905
4	151	3211
5	153	2684
6	154	2288
7	154	1991
8	155	1764
9	156	1580
10	157	1434
11	158	1307
12	159	1199
13	159	1106
14	160	1026
15	161	957
16	161	895
17	162	839
18	163	790
19	163	745
20	165	707
21	166	672
22	167	639
23	168	609
24	168	579
25	169	552
26	169	527
27	169	503
28	170	482
29	171	462
30	171	443
31	172	424
32	172	407
33	172	391
34	174	379
35	175	365
36	175	351
37	175	338
38	176	325
39	176	313
40	177	302
41	177	291
42	177	281
43	178	271
44	178	262
45	179	253
46	179	244
47	179	236
48	180	228
49	182	222
50	183	215
51	183	208
52	184	201
53	184	194
54	184	188
55	185	181
56	185	175
57	185	169
58	186	164
59	186	158
60	187	153
61	187	148
62	187	143
63	188	138
64	188	133
65	188	128
66	191	125
67	191	121
68	192	116
69	192	112
70	192	108
71	193	104
72	193	100
73	194	97
74	194	93
75	194	89
76	195	86
77	195	82
78	195	79
79	196	76
80	196	72
81	197	69
82	197	66
83	199	64
84	200	61
85	200	58
86	200	55
87	201	52
88	201	49
89	202	47
90	202	44
91	202	41
92	203	39
93	203	36
94	203	34
95	204	31
96	204	29
97	204	27
98	205	24
99	205	22
100	207	20
101	208	18
102	208	16
103	208	14
104	209	11
105	210	9
106	210	7
107	210	5
108	211	3
109	211	1
110	211	0
